YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES
2018,Year,State,AZ,Arizona,Total,4,1271312,775111,496201,1163265,667159,496106
2018,Year,State,AR,Arkansas,Total,5,627641,476217,151424,582340,430945,151395
2018,Year,State,CA,California,Total,6,6124095,3511605,2612490,5452380,2843447,2608933
2018,Year,State,CO,Colorado,Total,8,881044,548114,332929,793753,462636,331117
2018,Year,State,CT,Connecticut,Total,9,667724,421231,246493,599801,353340,246461
2018,Year,State,DE,Delaware,Total,10,201092,173181,27911,185903,158009,27894
2018,Year,State,DC,District of Columbia,Total,11,92528,76020,16508,76043,59579,16465
2018,Year,State,FL,Florida,Total,12,4412700,2459571,1953129,4131103,2178586,1952516
2018,Year,State,GA,Georgia,Total,13,1676019,1046723,629297,1537324,908825,628498
2018,Year,State,HI,Hawaii,Total,15,266940,145473,121467,230823,109402,121421
2018,Year,State,ID,Idaho,Total,16,320219,216838,103381,297156,193789,103367
2018,Year,State,IL,Illinois,Total,17,2193624,1635322,558302,1981593,1423339,558254
2018,Year,State,IN,Indiana,Total,18,1233673,870591,363081,1144318,781320,362998
2018,Year,State,IA,Iowa,Total,19,612391,490867,121524,569841,448324,121516
2018,Year,State,KS,Kansas,Total,20,523149,434270,88879,480275,391415,88860
2018,Year,State,KY,Kentucky,Total,21,912477,631752,280725,841827,563376,278451
2018,Year,State,LA,Louisiana,Total,22,848975,547567,301408,786389,485030,301359
2018,Year,State,ME,Maine,Total,23,331222,226452,104770,305101,200351,104750
2018,Year,State,MD,Maryland,Total,24,1011531,887969,123562,876571,753093,123478
2018,Year,State,MA,Massachusetts,Total,25,1304654,993272,311382,1170023,858688,311334
2018,Year,State,MI,Michigan,Total,26,2024434,1214457,809977,1898001,1088152,809849
2018,Year,State,MN,Minnesota,Total,27,996224,418248,577976,919914,341971,577944
2018,Year,State,MS,Mississippi,Total,28,590989,480072,110917,555153,444256,110897
2018,Year,State,MO,Missouri,Total,29,1204788,796103,408685,1111798,703146,408652
2018,Year,State,MT,Montana,Total,30,223046,181766,41280,205410,164146,41265
2018,Year,State,NE,Nebraska,Total,31,338009,288294,49715,309602,259899,49703
2018,Year,State,NV,Nevada,Total,32,511711,326489,185222,456416,271246,185170
2018,Year,State,NH,New Hampshire,Total,33,290178,251956,38222,259289,221068,38221
2018,Year,State,NJ,New Jersey,Total,34,1584755,1214158,370596,1406249,1035766,370482
2018,Year,State,NM,New Mexico,Total,35,409851,267964,141887,370293,228474,141820
2018,Year,State,NY,New York,Total,36,3559173,2120188,1438985,3194264,1755469,1438795
2018,Year,State,NC,North Carolina,Total,37,1931885,1265149,666736,1810327,1143737,666590
2018,Year,State,ND,North Dakota,Total,38,127675,104332,23343,117082,93749,23334
2018,Year,State,OH,Ohio,Total,39,2295136,1341720,953416,2112931,1169818,943113
2018,Year,State,OK,Oklahoma,Total,40,722454,582026,140428,659248,518858,140390
2018,Year,State,OR,Oregon,Total,41,836937,459247,377690,768984,391341,377644
2018,Year,State,PA,Pennsylvania,Total,42,2683395,1568247,1115149,2455088,1340143,1114945
2018,Year,State,RI,Rhode Island,Total,44,216308,120693,95614,190757,95163,95594
2018,Year,State,SC,South Carolina,Total,45,1040376,753152,287223,972354,685230,287124
2018,Year,State,SD,South Dakota,Total,46,170943,135390,35553,157350,121800,35550
2018,Year,State,TN,Tennessee,Total,47,1325043,817921,507122,1231685,724721,506964
2018,Year,State,TX,Texas,Total,48,4018970,2481183,1537787,3664994,2133051,1531943
2018,Year,State,UT,Utah,Total,49,386332,246370,139962,346790,206846,139945
2018,Year,State,VT,Vermont,Total,50,143533,128660,14873,131065,116196,14869
2018,Year,State,VA,Virginia,Total,51,1469980,1176496,293484,1321586,1028192,293395
2018,Year,State,WA,Washington,Total,53,1320498,895221,425277,1199694,774479,425215
2018,Year,State,WV,West Virginia,Total,54,433950,298536,135414,405130,269754,135376
2018,Year,State,WI,Wisconsin,Total,55,1142418,671014,471404,1066860,595489,471372
2018,Year,State,WY,Wyoming,Total,56,106143,101843,4300,97484,93189,4296
